-1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1	3	0.67	0.93	0.56	0.67	0.79	1.00	0.50	0.64	0.27
2	1	0.50	0.57	0.64	0.50	0.64	0.36	0.50	0.50	0.27
3	2	0.83	0.79	0.44	1.00	0.79	0.36	0.83	0.64	0.55
4	2	0.67	0.71	0.43	0.83	0.64	0.45	0.67	0.36	0.64
5	4	1.00	0.79	0.73	0.83	0.71	0.73	0.67	0.71	0.36
6	4	1.00	0.79	0.64	0.83	0.86	0.73	1.00	0.86	0.91
7	2	0.67	0.64	0.50	0.50	0.71	0.36	0.50	0.57	0.45
8	4	0.83	1.00	0.70	0.83	0.79	0.73	0.83	0.86	0.55
9	2	0.67	0.71	0.50	0.67	0.79	0.55	0.67	0.71	0.36
10	4	1.00	0.79	0.82	1.00	0.71	1.00	1.00	0.71	0.18
11	3	0.67	0.79	0.67	0.67	0.71	0.36	0.67	0.64	0.55
12	3	0.67	0.86	0.73	0.67	0.86	0.36	0.67	0.64	0.64
13	2	0.67	0.64	0.50	0.50	0.71	0.45	0.67	0.50	0.55
14	2	0.67	0.79	0.50	0.67	0.79	0.55	0.83	0.64	0.73
15	4	1.00	0.71	0.75	0.83	0.64	0.91	1.00	0.79	1.00
16	2	0.67	0.71	0.71	0.50	0.71	0.45	0.67	0.50	0.45
17	3	0.83	0.71	0.71	0.67	0.57	0.73	0.83	0.50	0.55
18	4	1.00	0.79	0.70	0.67	0.57	0.55	0.83	0.71	0.73
19	3	0.83	0.71	0.71	0.50	0.79	0.91	0.67	0.71	0.36
20	4	1.00	0.79	0.85	0.83	0.71	1.00	0.67	0.64	0.18
21	4	1.00	0.93	0.50	1.00	0.79	0.45	1.00	0.79	0.73
22	3	0.83	0.86	0.50	0.67	0.71	0.27	0.67	0.79	0.73
23	3	1.00	0.57	0.58	0.83	0.79	0.55	0.83	0.64	0.55
24	3	0.83	0.71	0.67	0.67	0.71	0.82	0.83	0.71	0.73
25	3	1.00	0.79	0.47	0.67	0.86	0.82	0.83	0.79	0.73
26	2	0.67	0.79	0.40	0.50	0.71	0.55	0.50	0.57	0.18
27	4	0.83	0.93	0.65	0.67	0.86	0.64	0.83	0.86	0.27
28	2	0.83	0.71	0.42	0.50	0.64	0.55	0.50	0.57	0.09
29	4	1.00	0.86	0.56	0.50	0.79	0.55	0.83	0.64	0.91
30	3	1.00	0.57	0.57	0.67	0.71	0.91	0.83	0.64	0.55
31	3	0.83	0.79	0.55	1.00	0.71	0.45	0.83	0.64	0.55
32	3	0.83	0.71	0.57	0.83	0.57	0.36	1.00	1.00	0.00
33	4	1.00	0.71	0.73	0.83	0.86	0.64	0.67	0.64	0.18
34	0	0.50	0.57	0.40	0.50	0.57	0.36	0.50	0.57	0.18
35	2	0.83	0.71	0.50	0.67	0.71	0.55	0.67	0.64	0.36
36	3	1.00	0.43	0.80	0.83	0.79	1.00	0.83	0.43	0.73
37	2	0.83	0.64	0.57	0.83	0.79	0.73	1.00	0.57	1.00
38	1	0.67	0.64	0.40	0.50	0.79	0.36	0.67	0.79	0.18
39	2	0.83	0.79	0.44	0.50	0.71	0.27	0.83	0.64	0.36
40	2	0.83	0.79	0.40	0.67	0.71	0.45	1.00	1.00	0.00
41	2	0.83	0.79	0.42	0.67	0.79	0.36	0.67	0.79	0.36
42	3	0.83	0.64	0.73	0.67	0.50	1.00	0.83	0.64	0.64
43	3	0.67	0.86	0.83	0.50	0.71	0.45	0.83	0.50	0.45
44	3	0.67	0.93	0.58	0.67	0.64	0.82	0.50	0.64	0.45
45	2	0.67	0.79	0.50	0.50	0.57	0.55	0.50	0.50	0.36
46	1	0.50	0.86	0.43	0.50	0.64	0.36	0.50	0.50	0.45
47	2	0.67	0.64	0.57	0.83	0.50	0.82	0.83	0.36	0.73
48	3	1.00	0.79	0.54	0.67	0.79	0.82	0.67	0.57	1.00
49	3	1.00	0.79	0.50	0.83	0.71	0.73	0.67	0.71	0.18
50	2	0.67	0.79	0.50	0.67	0.71	0.45	0.67	0.57	0.55
51	2	0.83	0.71	0.38	1.00	0.57	0.45	0.83	0.71	0.73
52	1	0.67	0.71	0.38	0.67	0.64	0.55	0.83	0.57	0.18
