-1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1	1	0.67	0.93	0.56	0.67	0.79	1.00	0.50	0.64	0.27
2	1	0.50	0.57	0.64	0.50	0.64	0.36	0.50	0.50	0.27
3	1	0.83	0.79	0.44	1.00	0.79	0.36	0.83	0.64	0.55
4	1	0.67	0.71	0.43	0.83	0.64	0.45	0.67	0.36	0.64
5	0	1.00	0.79	0.73	0.83	0.71	0.73	0.67	0.71	0.36
6	0	1.00	0.79	0.64	0.83	0.86	0.73	1.00	0.86	0.91
7	1	0.67	0.64	0.50	0.50	0.71	0.36	0.50	0.57	0.45
8	0	0.83	1.00	0.70	0.83	0.79	0.73	0.83	0.86	0.55
9	1	0.67	0.71	0.50	0.67	0.79	0.55	0.67	0.71	0.36
10	0	1.00	0.79	0.82	1.00	0.71	1.00	1.00	0.71	0.18
11	1	0.67	0.79	0.67	0.67	0.71	0.36	0.67	0.64	0.55
12	1	0.67	0.86	0.73	0.67	0.86	0.36	0.67	0.64	0.64
13	1	0.67	0.64	0.50	0.50	0.71	0.45	0.67	0.50	0.55
14	1	0.67	0.79	0.50	0.67	0.79	0.55	0.83	0.64	0.73
15	0	1.00	0.71	0.75	0.83	0.64	0.91	1.00	0.79	1.00
16	1	0.67	0.71	0.71	0.50	0.71	0.45	0.67	0.50	0.45
17	1	0.83	0.71	0.71	0.67	0.57	0.73	0.83	0.50	0.55
18	0	1.00	0.79	0.70	0.67	0.57	0.55	0.83	0.71	0.73
19	1	0.83	0.71	0.71	0.50	0.79	0.91	0.67	0.71	0.36
20	0	1.00	0.79	0.85	0.83	0.71	1.00	0.67	0.64	0.18
21	0	1.00	0.93	0.50	1.00	0.79	0.45	1.00	0.79	0.73
22	1	0.83	0.86	0.50	0.67	0.71	0.27	0.67	0.79	0.73
23	1	1.00	0.57	0.58	0.83	0.79	0.55	0.83	0.64	0.55
24	1	0.83	0.71	0.67	0.67	0.71	0.82	0.83	0.71	0.73
25	1	1.00	0.79	0.47	0.67	0.86	0.82	0.83	0.79	0.73
26	1	0.67	0.79	0.40	0.50	0.71	0.55	0.50	0.57	0.18
27	0	0.83	0.93	0.65	0.67	0.86	0.64	0.83	0.86	0.27
28	1	0.83	0.71	0.42	0.50	0.64	0.55	0.50	0.57	0.09
29	0	1.00	0.86	0.56	0.50	0.79	0.55	0.83	0.64	0.91
30	1	1.00	0.57	0.57	0.67	0.71	0.91	0.83	0.64	0.55
31	1	0.83	0.79	0.55	1.00	0.71	0.45	0.83	0.64	0.55
32	1	0.83	0.71	0.57	0.83	0.57	0.36	1.00	1.00	0.00
33	0	1.00	0.71	0.73	0.83	0.86	0.64	0.67	0.64	0.18
34	1	0.50	0.57	0.40	0.50	0.57	0.36	0.50	0.57	0.18
35	1	0.83	0.71	0.50	0.67	0.71	0.55	0.67	0.64	0.36
36	1	1.00	0.43	0.80	0.83	0.79	1.00	0.83	0.43	0.73
37	1	0.83	0.64	0.57	0.83	0.79	0.73	1.00	0.57	1.00
38	1	0.67	0.64	0.40	0.50	0.79	0.36	0.67	0.79	0.18
39	1	0.83	0.79	0.44	0.50	0.71	0.27	0.83	0.64	0.36
40	1	0.83	0.79	0.40	0.67	0.71	0.45	1.00	1.00	0.00
41	1	0.83	0.79	0.42	0.67	0.79	0.36	0.67	0.79	0.36
42	1	0.83	0.64	0.73	0.67	0.50	1.00	0.83	0.64	0.64
43	1	0.67	0.86	0.83	0.50	0.71	0.45	0.83	0.50	0.45
44	1	0.67	0.93	0.58	0.67	0.64	0.82	0.50	0.64	0.45
45	1	0.67	0.79	0.50	0.50	0.57	0.55	0.50	0.50	0.36
46	1	0.50	0.86	0.43	0.50	0.64	0.36	0.50	0.50	0.45
47	1	0.67	0.64	0.57	0.83	0.50	0.82	0.83	0.36	0.73
48	1	1.00	0.79	0.54	0.67	0.79	0.82	0.67	0.57	1.00
49	1	1.00	0.79	0.50	0.83	0.71	0.73	0.67	0.71	0.18
50	1	0.67	0.79	0.50	0.67	0.71	0.45	0.67	0.57	0.55
51	1	0.83	0.71	0.38	1.00	0.57	0.45	0.83	0.71	0.73
52	1	0.67	0.71	0.38	0.67	0.64	0.55	0.83	0.57	0.18
53	0	1.00	0.93	0.80	0.67	0.86	1.00	0.83	0.71	0.55
